Timestamp,Temperature,Humidity
2024-05-07 00:36:41,22.33,52.92
2024-05-07 00:37:11,22.56,54.4
2024-05-07 00:37:41,22.83,52.3
2024-05-07 00:38:11,23.08,51.57
2024-05-07 00:38:41,23.35,50.9
2024-05-07 00:39:11,23.54,50.32
2024-05-07 00:39:41,23.73,49.87
2024-05-07 00:40:11,23.93,49.4
2024-05-07 00:40:41,24.1,49.03
2024-05-07 00:41:11,24.25,48.72
2024-05-07 00:41:41,24.35,48.39
2024-05-07 00:42:11,24.46,48.1
2024-05-07 00:42:41,24.59,47.95
2024-05-07 00:43:11,24.72,47.68
2024-05-07 00:43:41,24.87,47.83
2024-05-07 00:44:11,24.9,47.2
2024-05-07 00:44:41,24.95,50.03
2024-05-07 00:45:11,24.99,48.1
2024-05-07 00:45:41,25.01,47.21
2024-05-07 00:46:11,25.03,47.11
2024-05-07 00:46:41,25.06,47.06
2024-05-07 00:47:11,25.09,46.94
2024-05-07 00:47:41,25.21,46.8
2024-05-07 00:48:11,25.26,46.54
2024-05-07 00:48:41,25.3,46.38
2024-05-07 00:49:11,25.35,46.35
2024-05-07 00:49:41,25.41,46.3
2024-05-07 00:50:11,25.44,46.12
2024-05-07 00:50:41,25.42,46.16
2024-05-07 00:51:11,25.47,46.13
2024-05-07 00:51:41,25.46,46.15
2024-05-07 00:52:11,25.45,46.45
2024-05-07 00:52:41,25.46,46.38
2024-05-07 00:53:11,25.48,46.41
2024-05-07 00:53:41,25.49,46.24
2024-05-07 00:54:11,25.53,46.0
2024-05-07 00:54:41,25.6,45.93
2024-05-07 00:55:11,25.69,45.8
2024-05-07 00:55:41,25.71,45.91
2024-05-07 00:56:11,25.73,45.77
2024-05-07 00:56:41,25.72,46.23
2024-05-07 00:57:11,25.73,46.02
2024-05-07 00:57:41,25.75,45.76
2024-05-07 00:58:11,25.75,46.19
