name,time,bind,cpu,database,device,device_id,engine,fstype,host,hostname,humidity,id,interface,label,mode,path,retentionPolicy,temperature,walPath
environment,1716976453000000000,,,,,DHT20-SC-E02,,,,,36.3,,,,,,,26.92,
environment,1716976483000000000,,,,,DHT20-SC-E02,,,,,36.32,,,,,,,27,
environment,1716976513000000000,,,,,DHT20-SC-E02,,,,,36.04,,,,,,,27.09,
environment,1716976543000000000,,,,,DHT20-SC-E02,,,,,35.97,,,,,,,27.16,
environment,1716976573000000000,,,,,DHT20-SC-E02,,,,,35.81,,,,,,,27.25,
environment,1716976603000000000,,,,,DHT20-SC-E02,,,,,35.6,,,,,,,27.31,
environment,1716976633000000000,,,,,DHT20-SC-E02,,,,,35.43,,,,,,,27.37,
environment,1716976663000000000,,,,,DHT20-SC-E02,,,,,35.31,,,,,,,27.41,
environment,1716976693000000000,,,,,DHT20-SC-E02,,,,,35.24,,,,,,,27.46,
environment,1716976723000000000,,,,,DHT20-SC-E02,,,,,35.14,,,,,,,27.53,
environment,1716976753000000000,,,,,DHT20-SC-E02,,,,,35.04,,,,,,,27.54,
environment,1716976783000000000,,,,,DHT20-SC-E02,,,,,34.94,,,,,,,27.59,
environment,1716976813000000000,,,,,DHT20-SC-E02,,,,,34.88,,,,,,,27.61,
environment,1716976843000000000,,,,,DHT20-SC-E02,,,,,34.85,,,,,,,27.69,
environment,1716976873000000000,,,,,DHT20-SC-E02,,,,,34.68,,,,,,,27.75,
environment,1716976903000000000,,,,,DHT20-SC-E02,,,,,34.63,,,,,,,27.82,
environment,1716976933000000000,,,,,DHT20-SC-E02,,,,,34.44,,,,,,,27.81,
environment,1716976963000000000,,,,,DHT20-SC-E02,,,,,34.44,,,,,,,27.84,
environment,1716976993000000000,,,,,DHT20-SC-E02,,,,,34.32,,,,,,,27.87,
environment,1716977023000000000,,,,,DHT20-SC-E02,,,,,34.3,,,,,,,27.9,
environment,1716977053000000000,,,,,DHT20-SC-E02,,,,,34.23,,,,,,,27.94,
environment,1716977083000000000,,,,,DHT20-SC-E02,,,,,34.14,,,,,,,27.97,
environment,1716977113000000000,,,,,DHT20-SC-E02,,,,,34.03,,,,,,,27.99,
environment,1716977212000000000,,,,,DHT20-SC-E02,,,,,33.98,,,,,,,28.19,
environment,1716977242000000000,,,,,DHT20-SC-E02,,,,,33.7,,,,,,,28.19,
environment,1716977272000000000,,,,,DHT20-SC-E02,,,,,33.72,,,,,,,28.15,
environment,1716977302000000000,,,,,DHT20-SC-E02,,,,,33.77,,,,,,,28.12,
environment,1716977332000000000,,,,,DHT20-SC-E02,,,,,33.76,,,,,,,28.11,
environment,1716977362000000000,,,,,DHT20-SC-E02,,,,,34.96,,,,,,,28.12,
environment,1716977392000000000,,,,,DHT20-SC-E02,,,,,35.58,,,,,,,28.06,
environment,1716977422000000000,,,,,DHT20-SC-E02,,,,,34.9,,,,,,,28.06,
environment,1716977452000000000,,,,,DHT20-SC-E02,,,,,34.97,,,,,,,28.11,
environment,1716977482000000000,,,,,DHT20-SC-E02,,,,,34.54,,,,,,,28.16,
environment,1716977512000000000,,,,,DHT20-SC-E02,,,,,34.5,,,,,,,28.23,
environment,1716977542000000000,,,,,DHT20-SC-E02,,,,,34.46,,,,,,,28.27,
environment,1716977572000000000,,,,,DHT20-SC-E02,,,,,34.41,,,,,,,28.31,
environment,1716977602000000000,,,,,DHT20-SC-E02,,,,,34.44,,,,,,,28.33,
environment,1716977632000000000,,,,,DHT20-SC-E02,,,,,34.01,,,,,,,28.39,
environment,1716977662000000000,,,,,DHT20-SC-E02,,,,,33.8,,,,,,,28.42,
environment,1716978562000000000,,,,,DHT20-SC-E02,,,,,32,,,,,,,28.95,
environment,1716978592000000000,,,,,DHT20-SC-E02,,,,,31.82,,,,,,,28.98,
environment,1716978622000000000,,,,,DHT20-SC-E02,,,,,31.74,,,,,,,29.01,
